date,rating,review
2021-11-01,5,always great experience try garlic pepper whatever coldcut sandwich u get delicious
2021-10-26,5,best mozzarella best sandwich local area found owner manager inviting kind gave u sample mozzarella impossibly fresh creamy decided turkey salami sandwich mozzarella sun-dried tomato little mayo delicious boyfriend got virginia ham special also delicious huge fan ham would actually order highly recommend love supporting local business place great
2021-10-04,4,best mozz mile square anyone argues otherwise stupid lisa really people hurt used go alllll time lived hoboken got chance stop visiting sister week ago good remembered staff speedy always went italian combo added house made roasted red pepper spicy pepper pack damn delicious punch also picking sandwich vegetarian sister asked woman helping put something together went homemade mozz obviously sundried tomato roasted pepper sister said awesome mentioned woman making sandwich probably going eat half leftover nice enough put balsamic half sandwich tell u store best result spot truly enjoyed second half next day dinner back brooklyn note 5 star shop giving 4 star due handling covid worker properly masked gloved least half patron small shop wearing mask nobody batted eye cool
2021-09-17,5,go italian sandwich stay fresh mutz seriously get mozzarella sandwich get big ball take home n't get much better made earlier day fresh warm oh dang good heed advice take home least pound okay okay enough mutz talk lol yeah right keep mind might sure wait line usually tell great place one oldest business hoboken one place need stop town much still filled local call ahead place order rush waiting line recommend knowing want turn counter special every day week every week ca n't go wrong sandwich bread amazing meat tasty mutz made fresh every day incredible obviously hot tip cash get roasted pepper whatever sandwich order
2021-08-28,5,staying right block try institution lived hype went saturday roast beef mutz gravy must delicious huge 16 sub worth dont worry line go fast wait worth
2021-08-24,5,sandwich consists roastbeef turkey salami mozzarella hot pepper balsamic lunch simply put delicious perfect bread stacked large portion everything else expect price classic deli first-rate sandwich check near place lunch
2021-08-18,5,place lived hyped hearing totally worth drive central jersey loooong ride home fresh mutz incredible especially roast beef special small place expect line bring appetite
2021-08-16,4,great food place cash kind pain n't mind wait sandwich worth personally think good pre covid still 3 hoboken far deli food go
2021-08-16,5,found em online review decided try mozzarella definitely star show fresh sliced roast beef great friendly service suggestion said first time pro tip pas pickle pepper order roast beef mozzarella eating remember thinking bread chewy day later craving part may make sense individually add really well
2021-08-06,5,best italian deli period try italian tuna sandwich friday life changing roast beef saturday could add star place would thank later
2021-08-06,5,best fresh mutz ever also sesame street menu prepared get special
2021-07-21,5,mozzarella always fresh taste good favorite thing order tomato mozzarella salad always fresh tasty sub also good fresh mozzarella prosciutto great choice usually line outside staff work quickly wo n't waiting long
2021-07-16,5,review n't lie got thursday special roast beef mutz gravy side pepper think opt pepper next time beef juice mutz chewy gravy sweet salty walked outta three foot worth sandwich glad three foot lasted three glorious meal must mutz said word mutz 100 time day really live hype ca n't wait go back
2021-06-19,5,always stop driving home boston anywhere south u 10 hour drive home va beach go way come literally part planning drive roast beef right day favorite fresh also get prosciutto roasted pepper eat later hold better fresh mozz obviously cash
2021-06-16,3,italian sub look unbelievable right unfortunately lacked flavor great place nice vibe pretty busy maybe taste bud
