id,Resturant Name,Review
117,10Th And Willow Bar And Grill Hoboken,couple time nice bar good music heard lot food friend n't tried food yet drink reasonably priced go back
137,10Th And Willow Bar And Grill Hoboken,look nice day food ok turn awful awful club night really big fan
232,16 Handles Hoboken,basic outpost chain friendly staff space kept really nice clean much say location
259,16 Handles Hoboken,good get slammed especially nice night nothing outrageous super nice able go sit water
446,Ainsworth Hoboken Hoboken,place nice night day staff great food ok fried mac n cheese app n't even oh cocktail heavy liquor guess bonus
448,Ainsworth Hoboken Hoboken,food restaurant unbelievable took first bite loved place looked really nice really fun 5 star
512,Ainsworth Hoboken Hoboken,went group friend birthday food great atmosphere nice crowded
523,Ainsworth Hoboken Hoboken,came lunch much say food good music loud interior nice service slow water warm location near boardwalk parking
594,Ainsworth Hoboken Hoboken,mac cheese burger great get ever time go never fails nice view city park right across street staff friendly atmosphere fun inviting great spot summer night place wo n't disappoint
721,Ainsworth Hoboken Hoboken,friend looking place eat hoboken decided find place yelp ran across ainsworth decided give try soon walked felt good vibe nice dim lighting cool music friendly hostess sat ordered bloody mary looked good selection burger friend ordered burger forgot called impressed fry really good server really nice unfortunately came rainy day could n't enjoy beautiful skyline texas next time come jersey definitely back
767,Ainsworth Hoboken Hoboken,cool atmosphere place fairly dark make nice date night hang bar see nyc view many face hanging drink
802,Ainsworth Hoboken Hoboken,place really nice interior nyc skyline view sitting near entrance bar outside also place tasty burger nice brew tap bit pricey def worth
849,Alessios Cafe Gelato Pizza Hoboken,great service quick individual behind counter nice friendly gelato vanilla hazelnut pretty good back
883,Alessios Cafe Gelato Pizza Hoboken,stopped croissant sandwich milano excellent owner helped u nice back
951,Alfalfa Hoboken,alfalfa always fresh delicious staff always friendly keep place nice clean
1173,Ali Baba Hoboken 2,nice ambience good service average food chicken tikka sandwich fresh reminiscent souvlaki falafel sandwich average spinach pie nice worth shot fresh baked bread stuffed spinach lime spice mint lemonade refreshing
1178,Ali Baba Hoboken 2,ordered two chicken tikka sandwich drink took food waterfront nice time online ordering system super easy food ready arrived past sat restaurant dinner found enjoyable experience worker nice helpful food taste fresh delicious
1214,Ali Baba Hoboken 2,great flavored food service nice make sure come early otherwise anyways food delish byob
1256,Ali Baba Hoboken 2,friend went several week ago food good however pricing bit high food provided really nice u waitress super cheerful great environment
1292,Ali Baba Hoboken 2,number time n't disappointed yet food great staff super nice
1370,Amandas Restaurant Hoboken 2,outstanding experience taste flavor food nice kind caring service totally n't expecting good pleasantly surprised
1377,Amandas Restaurant Hoboken 2,amanda nice outdoor dining setup live jazz band atmosphere nice service great food good got multiple appetizer entree share two people everything tasty
1388,Amandas Restaurant Hoboken 2,menu incredible special always tempting well atmosphere terrific nice bar small service always solid super friendly one best restaurant hoboken
1462,Amandas Restaurant Hoboken 2,food amazing ambiance cool got goat cheese beet salad type app delicious spring rissoto main got bottle rose table friend prime rib loved sister vegan ravioli also loved also tried polenta app nice dessert flower free chocolate cake cappuccino yum great food temperature room little cold server could smidge attentive made reservation nice table thought nice overall lovely experience
1468,Amandas Restaurant Hoboken 2,nice cozy restaurant hoboken danish family europe book table early birdie dinner good dinner good service nice food good surrounding missing junior dinner son 13 year old liked course
1577,Amandas Restaurant Hoboken 2,really nice brunch place hoboken sat downstairs felt like private dining experiencewhatever ordered nice french toast delicious
